t/c = 0.05
Thickness = 3 mm
flapping amplitude = 160 degree
Medium_or_frequency = 1
Re, aspect_ratio, root_offset, r1_h_design, r1_hat, r2_hat, r3_hat, R (mm), R_total (mm), flapping_frequency (Hz), kinematic_viscosity (m^2/s), S (m^2), ref_vel_Ur2 (m/s), max.force (N), max.moment (Nmm)
100, 4.0, 0.1, 0.4, 0.4553528027301746, 0.5112932647627106, 0.5566740782838066, 240.0, 264.0, 1, 0.0004102597363426735, 0.014366847399881059, 0.685344070147615, 0.019695687107872357, 2.631378832065863
100, 4.0, 0.1, 0.45, 0.5002333343698125, 0.5517044395619509, 0.5929696227987259, 240.0, 264.0, 1, 0.00044338154387148215, 0.01438943648772394, 0.7395117287597649, 0.022279659538535973, 3.17067871503593
100, 4.0, 0.1, 0.5, 0.5454228727642187, 0.5910950652376716, 0.62759008629953, 240.0, 264.0, 1, 0.00047530505195909065, 0.014397521999883478, 0.792311430196842, 0.024913074434976628, 3.7524476483120623
100, 4.0, 0.1, 0.55, 0.5895321987789012, 0.6287316581431103, 0.6600911351093786, 240.0, 264.0, 1, 0.0005069453916321624, 0.01443671905173008, 0.842760003542069, 0.027642672122983623, 4.379203876587992
100, 4.0, 0.1, 0.6, 0.6309363015198459, 0.6637110501432106, 0.6898589911004566, 240.0, 264.0, 1, 0.0005393776195028377, 0.01455078849573242, 0.8896468306074783, 0.030528800512931678, 5.054536205125955
100, 4.0, 0.2, 0.4, 0.5007400691693266, 0.5442226794402174, 0.581928160184997, 240.0, 288.0, 1, 0.0004366821712045572, 0.01436684739988106, 0.7294830812357717, 0.021750579890639974, 3.0377459852920596
100, 4.0, 0.2, 0.45, 0.5418805565056617, 0.582349442754736, 0.616809055000801, 240.0, 288.0, 1, 0.00046800963792552276, 0.014389436487723936, 0.7805886853036323, 0.024301562645476706, 3.59746173369582
100, 4.0, 0.2, 0.5, 0.5833043000338671, 0.6195647089487305, 0.6501299209483165, 240.0, 288.0, 1, 0.0004981977578521786, 0.014397521999883478, 0.8304725069042475, 0.02688867361876614, 4.195471501001643
100, 4.0, 0.2, 0.55, 0.6237378488806595, 0.6551157214635474, 0.6814266391429254, 240.0, 288.0, 1, 0.0005282188222596722, 0.014436719051730077, 0.8781255414617845, 0.029564842115616573, 4.835105039912597
100, 4.0, 0.2, 0.6, 0.6616916097265256, 0.6881062678416315, 0.7100895866715321, 240.0, 288.0, 1, 0.0005592028649113457, 0.01455078849573242, 0.922346494267887, 0.03239696882511606, 5.521140048584921
100, 5.0, 0.0, 0.4, 0.40088808300319206, 0.47554343075615324, 0.5298323167330942, 300.0, 300.0, 1, 0.0004769677599118515, 0.017958559249851323, 0.7967806658807559, 0.03133347954924222, 4.980447018265209
100, 5.0, 0.0, 0.45, 0.4502566678067938, 0.5179245028802986, 0.5672510388886924, 300.0, 300.0, 1, 0.0005202925453125489, 0.01798679560965492, 0.8677908337935422, 0.036084365431299316, 6.140668133563127
100, 5.0, 0.0, 0.5, 0.49996516004064057, 0.5592610777904609, 0.6029273829085976, 300.0, 300.0, 1, 0.0005621338073830168, 0.017996902499854348, 0.9370509298267848, 0.04097975672661859, 7.412345242623343
100, 5.0, 0.0, 0.55, 0.5484854186567913, 0.5988490200291033, 0.6364246490102271, 300.0, 300.0, 1, 0.0006035638317541373, 0.018045898814662596, 1.003381163697535, 0.046083043294919995, 8.798515396287767
100, 5.0, 0.0, 0.6, 0.5940299316718307, 0.6357782372377179, 0.6671134287358721, 300.0, 300.0, 1, 0.0006458468486757094, 0.018188485619665525, 1.0652566610230843, 0.05147797516269658, 10.302494554549973
100, 5.0, 0.1, 0.4, 0.45535280273017464, 0.5112932647627108, 0.5566740782838067, 300.0, 329.99999999999994, 1, 0.0005128246704283419, 0.01795855924985132, 0.856680087684519, 0.035255643279069784, 5.8877708180036565
100, 5.0, 0.1, 0.45, 0.5002333343698125, 0.5517044395619509, 0.5929696227987261, 300.0, 329.99999999999994, 1, 0.0005542269298393524, 0.01798679560965492, 0.9243896609497061, 0.04003764879534908, 7.122332851177804
100, 5.0, 0.1, 0.5, 0.545422872764219, 0.5910950652376717, 0.62759008629953, 300.0, 329.99999999999994, 1, 0.0005941313149488635, 0.017996902499854344, 0.9903892877460528, 0.04492857596101727, 8.459018659406944
100, 5.0, 0.1, 0.55, 0.5895321987789013, 0.6287316581431103, 0.6600911351093787, 300.0, 329.99999999999994, 1, 0.0006336817395402029, 0.018045898814662596, 1.0534500044275863, 0.05000070591166982, 9.901506816451304
100, 5.0, 0.1, 0.6, 0.6309363015198461, 0.6637110501432106, 0.6898589911004567, 300.0, 329.99999999999994, 1, 0.0006742220243785471, 0.01818848561966552, 1.112058538259348, 0.05534894926216093, 11.454891088939414
100, 5.0, 0.2, 0.4, 0.5007400691693267, 0.5442226794402174, 0.5819281601849969, 300.0, 360.0, 1, 0.0005458527140056964, 0.017958559249851323, 0.9118538515447145, 0.03906220765547569, 6.819419590114581
100, 5.0, 0.2, 0.45, 0.5418805565056615, 0.5823494427547359, 0.6168090550008009, 300.0, 360.0, 1, 0.0005850120474069033, 0.01798679560965492, 0.9757358566295402, 0.043793527391952136, 8.103673273734504
100, 5.0, 0.2, 0.5, 0.5833043000338671, 0.6195647089487305, 0.6501299209483163, 300.0, 360.0, 1, 0.0006227471973152232, 0.017996902499854348, 1.0380906336303093, 0.04860752646237718, 9.480362200943542
100, 5.0, 0.2, 0.55, 0.6237378488806596, 0.6551157214635474, 0.6814266391429253, 300.0, 360.0, 1, 0.0006602735278245904, 0.018045898814662596, 1.0976569268272307, 0.0535875546821075, 10.954796186074873
100, 5.0, 0.2, 0.6, 0.6616916097265255, 0.6881062678416314, 0.7100895866715321, 300.0, 360.0, 1, 0.000699003581139182, 0.018188485619665525, 1.1529331178348585, 0.05884048844668521, 12.53460543619733
